"institutionCode";"collectionCode";"catalogNumber";"scientificName";"decimalLatitude";"decimalLongitude";"coordinatePrecision";"eventDate";"recordedBy";"associatedMedia";"basisOfRecord"
"agoralogie";"iherbarium";"928";"Senecio jacobaea L.";"49.5805";"-1.7291666666667";"50meters";"2011-07-19";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/928";"HumanObservation"
"agoralogie";"iherbarium";"793";"Medicago sativa L.";"48.888833333333";"2.3903333333333";"50meters";"2011-06-19";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/793";"HumanObservation"
"agoralogie";"iherbarium";"783";"Brassica nigra (L.) W.D.J. Koch";"48.891166666667";"2.3881666666667";"50meters";"2011-06-18";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/783";"HumanObservation"
"agoralogie";"iherbarium";"933";"Heracleum sphondylium L.";"49.580333333333";"-1.73";"50meters";"2011-07-20";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/933";"HumanObservation"
"agoralogie";"iherbarium";"1474";"Papaver rhoeas L.";"48.282666666667";"7.5668333333333";"50meters";"2011-10-12";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1474";"HumanObservation"
"agoralogie";"iherbarium";"1474";"Papaver rhoeas L.";"48.282666666667";"7.5668333333333";"50meters";"2011-10-12";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1474";"HumanObservation"
"agoralogie";"iherbarium";"836";"Solanum nigrum L.";"48.8615";"2.391";"50meters";"2011-06-26";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/836";"HumanObservation"
"agoralogie";"iherbarium";"1669";"Taraxacum officinale F.H. Wigg.";"48.848833333333";"2.3716666666667";"50meters";"2012-03-20";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1669";"HumanObservation"
"agoralogie";"iherbarium";"1671";"Taraxacum officinale F.H. Wigg.";"48.849166666667";"2.3728333333333";"50meters";"2012-03-20";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1671";"HumanObservation"
"agoralogie";"iherbarium";"1690";"Taraxacum officinale F.H. Wigg.";"48.845333333333";"2.3796666666667";"50meters";"2012-03-24";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1690";"HumanObservation"
"agoralogie";"iherbarium";"1858";"Euphorbia characias L.";"44.231";"4.1481666666667";"50meters";"2012-04-16";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1858";"HumanObservation"
"agoralogie";"iherbarium";"1855";"Ranunculus ficaria L.";"48.489093780518";"-0.050618998706341";"50meters";"2012-04-15";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1855";"HumanObservation"
"agoralogie";"iherbarium";"1854";"Cerastium fontanum Baumg.";"48.489078521729";"-0.050661999732256";"50meters";"2012-04-15";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1854";"HumanObservation"
"agoralogie";"iherbarium";"1852";"Euphorbia cyparissias L.";"48.490345001221";"-0.050361000001431";"50meters";"2012-04-15";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1852";"HumanObservation"
"agoralogie";"iherbarium";"1845";"Valeriana locusta L.";"48.4892578125";"-0.050714999437332";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1845";"HumanObservation"
"agoralogie";"iherbarium";"1841";"Glechoma hederacea L.";"48.489078521729";"-0.050639998167753";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1841";"HumanObservation"
"agoralogie";"iherbarium";"1859";"Biscutella laevigata L.";"44.230333333333";"4.1478333333333";"50meters";"2012-04-16";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1859";"HumanObservation"
"agoralogie";"iherbarium";"1862";"Veronica persica Poir.";"48.4889793396";"-0.050714999437332";"50meters";"2012-04-16";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1862";"HumanObservation"
"agoralogie";"iherbarium";"1843";"Chelidonium majus L.";"48.489398956299";"-0.050682999193668";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1843";"HumanObservation"
"agoralogie";"iherbarium";"1835";"Lamium purpureum L.";"48.489284515381";"-0.050726000219584";"50meters";"2012-04-13";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1835";"HumanObservation"
"agoralogie";"iherbarium";"1833";"Geranium robertianum L.";"48.489303588867";"-0.05069399997592";"50meters";"2012-04-13";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1833";"HumanObservation"
"agoralogie";"iherbarium";"1840";"Lunaria annua L.";"48.489490509033";"-0.050661999732256";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1840";"HumanObservation"
"agoralogie";"iherbarium";"1869";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"48.489448547363";"-0.050661999732256";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1869";"HumanObservation"
"agoralogie";"iherbarium";"1909";"Tragopogon pratensis L.";"44.231";"4.1473333333333";"50meters";"2012-04-18";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1909";"HumanObservation"
"agoralogie";"iherbarium";"1901";"Senecio vulgaris L.";"48.489063262939";"-0.050790000706911";"50meters";"2012-04-18";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1901";"HumanObservation"
"agoralogie";"iherbarium";"1930";"Cruciata laevipes Opiz";"48.488212585449";"-0.042668998241425";"50meters";"2012-04-21";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1930";"HumanObservation"
"agoralogie";"iherbarium";"1932";"Primula veris L.";"48.488582611084";"-0.044277999550104";"50meters";"2012-04-21";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1932";"HumanObservation"
"agoralogie";"iherbarium";"1928";"Euphorbia peplus L.";"48.489734649658";"-0.050530001521111";"50meters";"2012-04-20";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1928";"HumanObservation"
"agoralogie";"iherbarium";"1925";"Arum maculatum L.";"48.489051818848";"-0.050661999732256";"50meters";"2012-04-19";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1925";"HumanObservation"
"agoralogie";"iherbarium";"1907";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"49.107166666667";"2.1825";"50meters";"2012-04-18";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1907";"HumanObservation"
"agoralogie";"iherbarium";"1886";"Bellis perennis L.";"48.489051818848";"-0.050714999437332";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1886";"HumanObservation"
"agoralogie";"iherbarium";"1944";"Ajuga reptans L.";"48.489013671875";"-0.045614000409842";"50meters";"2012-04-24";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1944";"HumanObservation"
"agoralogie";"iherbarium";"1891";"Primula vulgaris Huds.";"48.488967895508";"-0.050737001001835";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1891";"HumanObservation"
"agoralogie";"iherbarium";"1892";"Silene latifolia Poir.";"48.278333333333";"7.5675";"50meters";"2012-04-17";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1892";"HumanObservation"
"agoralogie";"iherbarium";"1872";"Taraxacum officinale F.H. Wigg.";"48.489135742188";"-0.050714999437332";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1872";"HumanObservation"
"agoralogie";"iherbarium";"1946";"Helleborus foetidus L.";"44.236666666667";"4.148";"50meters";"2012-04-24";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1946";"HumanObservation"
"agoralogie";"iherbarium";"2087";"Ranunculus repens L.";"48.849";"2.3723333333333";"50meters";"2012-05-03";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2087";"HumanObservation"
